visit_id,completion_type
428599802_30402877972_724989,step_4_only
192468652_77504119553_874107,step_4_only
205836248_53279938801_198414,step_4_only
854832377_30146752670_593738,step_4_only
166653239_47474873920_84752,step_4_only
198421246_2675773015_582126,step_4_only
904103599_47561357153_482495,step_4_only
361530419_97452883905_607643,step_4_only
837754567_40948331640_23757,step_4_only
453524654_49042112929_342518,step_4_only
194635306_61661796895_511926,step_4_only
163259419_28374372365_108441,step_4_only
643627799_88821701763_576017,step_4_only
510351753_10523222203_992683,step_4_only
102142817_7580637917_670602,step_4_only
176862788_12555411578_329426,step_4_only
926983602_1011871581_658525,step_4_only
726992585_47318866231_953575,step_4_only
960405087_3223166512_325641,step_4_only
953979482_64746151535_94504,step_4_only
670163900_69998452411_764632,step_4_only
926676000_47854548322_846153,step_4_only
241484110_1892864068_272232,step_4_only
656316597_91458186477_629365,step_4_only
971145896_87378064574_838490,step_4_only
590240395_91821667226_587860,step_4_only
843836514_1921481173_974528,step_4_only
561358177_93231544357_784894,step_4_only
879523282_85808679939_771378,step_4_only
984761714_44845993580_160531,step_4_only
805415566_5241777627_520272,step_4_only
780016500_33078023505_314908,step_4_only
80381984_99859964840_4788,step_4_only
364120411_13020388104_214302,step_4_only
228208572_7171632160_305586,step_4_only
391349536_6511293219_764479,step_4_only
932486303_2266984653_481562,step_4_only
447972318_61331572759_20440,step_4_only
501444171_29417691839_547074,step_4_only
273781391_90741567469_723614,step_4_only
655419897_58755194055_614056,step_4_only
723180223_53493082258_268494,step_4_only
216846870_66047654237_702467,step_4_only
23984142_77507408597_553505,step_4_only
862154098_75525850624_74387,step_4_only
343764966_77060210218_553009,step_4_only
712344306_71833890903_867362,step_4_only
609206139_27833151669_667544,step_4_only
3658246_36509620565_153206,step_4_only
780303396_51889029398_609707,step_4_only
427581850_29280158667_868462,step_4_only
960437532_89915904309_608995,step_4_only
918454084_28836018207_933728,step_4_only
876796196_73460765666_562407,step_4_only
816439901_85505652193_508007,step_4_only
304335442_2943499291_967784,step_4_only
879920131_12173785398_408618,step_4_only
571220387_43961490745_97101,step_4_only
5544386_37097909513_618917,step_4_only
586213520_39840650715_629703,step_4_only
929504265_92348798020_968894,step_4_only
693729318_3732838203_944567,step_4_only
411285744_9209625987_872505,step_4_only
732423313_85527834583_496007,step_4_only
520889790_82824863930_427665,step_4_only
727265360_48001752632_181491,step_4_only
831778858_9067437880_379029,step_4_only
393580646_54035717654_538931,step_4_only
663929989_28491506423_480285,step_4_only
75520102_28404516844_880390,step_4_only
892036894_65346278658_310573,step_4_only
612875662_17683619072_327247,step_4_only
377281373_56822711943_904115,step_4_only
810007328_24347408348_717268,step_4_only
580554041_58638912710_677846,step_4_only
400881554_49729621942_7227,step_4_only
674353609_67014707330_323133,step_4_only
673203888_43871511438_811595,step_4_only
887722624_99596314783_61693,step_4_only
44894985_83986350897_960320,step_4_only
260141817_49380120806_43128,step_4_only
157878245_39276236329_331264,step_4_only
147049689_81719300155_996400,step_4_only
204832966_33103657487_736028,step_4_only
947180636_46525889520_410147,step_4_only
551211973_42655182326_485904,step_4_only
283922156_32568163248_941797,step_4_only
561767727_81909678321_168281,step_4_only
